Country,State,City,DATE,Year,Month,Day,Hour,Precipitation,Cloudiness,Dew point,Temperature,Wind chill,Wind speed,Wind direction
Canada,Ontario,Timmins,20100101 00:00,2010,1,1,0,1021.2,364,0.8,5.8,3.4,4.3,263
Canada,Ontario,Timmins,20100101 01:00,2010,1,1,1,1021,398,0.9,5.5,2.9,4.3,271
Canada,Ontario,Timmins,20100101 02:00,2010,1,1,2,1020.9,409,0.8,5.2,2.5,4.3,263
Canada,Ontario,Timmins,20100101 03:00,2010,1,1,3,1020.9,427,0.8,4.9,2.2,4.2,279
Canada,Ontario,Timmins,20100101 04:00,2010,1,1,4,1020.9,411,0.8,4.6,1.8,4.2,285
Canada,Ontario,Timmins,20100101 05:00,2010,1,1,5,1020.8,425,0.7,4.3,1.4,4.2,300
Canada,Ontario,Timmins,20100101 06:00,2010,1,1,6,1021,415,0.6,4.1,1.1,4.2,298
Canada,Ontario,Timmins,20100101 07:00,2010,1,1,7,1021.4,412,0.4,3.8,0.8,4.2,313
Canada,Ontario,Timmins,20100101 08:00,2010,1,1,8,1021.9,430,0.4,3.9,0.9,4.2,312
Canada,Ontario,Timmins,20100101 09:00,2010,1,1,9,1022.4,435,0.9,5.2,2.3,4.6,312
Canada,Ontario,Timmins,20100101 10:00,2010,1,1,10,1022.9,443,1.1,6.8,4.1,5.2,306
Canada,Ontario,Timmins,20100101 11:00,2010,1,1,11,1022.8,400,1.1,8.3,6.2,5.3,241
Canada,Ontario,Timmins,20100101 12:00,2010,1,1,12,1022,400,1.1,9.7,7.8,5.5,247
Canada,Ontario,Timmins,20100101 13:00,2010,1,1,13,1020.8,379,1.1,10.8,9.2,5.6,250
Canada,Ontario,Timmins,20100101 14:00,2010,1,1,14,1020,387,1,11.6,10.1,5.7,245
Canada,Ontario,Timmins,20100101 15:00,2010,1,1,15,1019.6,382,0.9,12,10.6,5.7,250
Canada,Ontario,Timmins,20100101 16:00,2010,1,1,16,1019.6,398,0.8,12,10.6,5.6,254
Canada,Ontario,Timmins,20100101 17:00,2010,1,1,17,1019.7,372,0.9,11.3,9.8,5.1,311
Canada,Ontario,Timmins,20100101 18:00,2010,1,1,18,1019.9,368,0.9,9.7,8,4.5,23
Canada,Ontario,Timmins,20100101 19:00,2010,1,1,19,1020.3,359,1.1,8.7,6.8,4.3,57
Canada,Ontario,Timmins,20100101 20:00,2010,1,1,20,1020.6,368,1.2,8.1,6,4.3,50
Canada,Ontario,Timmins,20100101 21:00,2010,1,1,21,1020.8,366,1.2,7.5,5.3,4.4,200
Canada,Ontario,Timmins,20100101 22:00,2010,1,1,22,1021,373,1.1,6.9,4.7,4.4,237
Canada,Ontario,Timmins,20100101 23:00,2010,1,1,23,1021.1,372,1.1,6.5,4.1,4.4,226
Canada,Ontario,Timmins,20100102 00:00,2010,1,2,0,1021,370,1.1,6.1,3.6,4.3,237
Canada,Ontario,Timmins,20100102 01:00,2010,1,2,1,1020.7,405,1.1,5.7,3.2,4.3,248
Canada,Ontario,Timmins,20100102 02:00,2010,1,2,2,1020.7,417,1.1,5.3,2.7,4.3,244
Canada,Ontario,Timmins,20100102 03:00,2010,1,2,3,1020.7,433,1.1,5.1,2.4,4.2,263
Canada,Ontario,Timmins,20100102 04:00,2010,1,2,4,1020.6,414,1.1,4.8,2.1,4.2,270
Canada,Ontario,Timmins,20100102 05:00,2010,1,2,5,1020.6,428,1,4.4,1.7,4.2,289
Canada,Ontario,Timmins,20100102 06:00,2010,1,2,6,1020.7,415,0.9,4.2,1.4,4.2,288
Canada,Ontario,Timmins,20100102 07:00,2010,1,2,7,1021.2,417,0.7,4.1,1.1,4.2,307
Canada,Ontario,Timmins,20100102 08:00,2010,1,2,8,1021.7,434,0.7,4.1,1.1,4.2,305
Canada,Ontario,Timmins,20100102 09:00,2010,1,2,9,1022.1,442,1.2,5.4,2.6,4.6,306
Canada,Ontario,Timmins,20100102 10:00,2010,1,2,10,1022.6,455,1.3,7.1,4.4,5.1,292
Canada,Ontario,Timmins,20100102 11:00,2010,1,2,11,1022.6,414,1.4,8.6,6.4,5.3,232
Canada,Ontario,Timmins,20100102 12:00,2010,1,2,12,1021.8,396,1.4,9.9,8.1,5.5,241
Canada,Ontario,Timmins,20100102 13:00,2010,1,2,13,1020.5,376,1.3,11.1,9.4,5.6,244
Canada,Ontario,Timmins,20100102 14:00,2010,1,2,14,1019.8,384,1.3,11.9,10.4,5.7,241
Canada,Ontario,Timmins,20100102 15:00,2010,1,2,15,1019.4,381,1.2,12.3,10.9,5.7,248
Canada,Ontario,Timmins,20100102 16:00,2010,1,2,16,1019.3,390,1.1,12.3,10.9,5.7,256
Canada,Ontario,Timmins,20100102 17:00,2010,1,2,17,1019.5,365,1.2,11.6,10.1,5.2,305
Canada,Ontario,Timmins,20100102 18:00,2010,1,2,18,1019.7,361,1.2,9.9,8.3,4.6,17
Canada,Ontario,Timmins,20100102 19:00,2010,1,2,19,1020.2,348,1.3,8.9,7.1,4.4,44
Canada,Ontario,Timmins,20100102 20:00,2010,1,2,20,1020.5,361,1.3,8.3,6.2,4.3,18
Canada,Ontario,Timmins,20100102 21:00,2010,1,2,21,1020.7,354,1.3,7.7,5.6,4.4,236
Canada,Ontario,Timmins,20100102 22:00,2010,1,2,22,1020.9,366,1.3,7.1,4.8,4.4,259
Canada,Ontario,Timmins,20100102 23:00,2010,1,2,23,1021,359,1.2,6.6,4.2,4.5,249
Canada,Ontario,Timmins,20100103 00:00,2010,1,3,0,1020.9,355,1.2,6.1,3.7,4.3,252
Canada,Ontario,Timmins,20100103 01:00,2010,1,3,1,1020.7,391,1.2,5.7,3.2,4.3,263
Canada,Ontario,Timmins,20100103 02:00,2010,1,3,2,1020.6,407,1.2,5.4,2.8,4.4,257
Canada,Ontario,Timmins,20100103 03:00,2010,1,3,3,1020.7,423,1.1,5.1,2.4,4.3,276
Canada,Ontario,Timmins,20100103 04:00,2010,1,3,4,1020.6,403,1.1,4.8,2,4.2,283
Canada,Ontario,Timmins,20100103 05:00,2010,1,3,5,1020.6,418,0.9,4.5,1.7,4.2,299
Canada,Ontario,Timmins,20100103 06:00,2010,1,3,6,1020.8,409,0.9,4.3,1.4,4.2,298
Canada,Ontario,Timmins,20100103 07:00,2010,1,3,7,1021.2,406,0.7,4.1,1.1,4.3,316
Canada,Ontario,Timmins,20100103 08:00,2010,1,3,8,1021.7,419,0.7,4.1,1.1,4.3,312
